"ROW_NUMBER"|"BOOK_NAME"|"CHAPTER_NUMBER"|"VERSE_NUMBER"|"TEXT_OF_VERSE"
"001"|"Genesis"|"001"|"001"|"In the beginning God{After ""God,"" the Hebrew has the two letters ""Aleph Tav"" (the first and last letters of the Hebrew alphabet) as a grammatical marker.} created the heavens and the earth."
"002"|"Genesis"|"005"|"002"|"He created them male and female, and blessed them, and called their name Adam,{""Adam"" and ""Man"" are spelled with the exact same consonants in Hebrew, so this can be correctly translated either way.} in the day when they were created."
"003"|"Genesis"|"012"|"007"|"Yahweh appeared to Abram and said, ""I will give this land to your seed{or, offspring}."" He built an altar there to Yahweh, who appeared to him."
"004"|"Genesis"|"016"|"014"|"Therefore the well was called Beer Lahai Roi.{Beer Lahai Roi means ""well of the one who lives and sees me.""} Behold, it is between Kadesh and Bered."
"005"|"Genesis"|"017"|"019"|"God said, ""No, but Sarah, your wife, will bear you a son. You shall call his name Isaac.{Isaac means ""he laughs.""} I will establish my covenant with him for an everlasting covenant for his seed after him."
"006"|"Genesis"|"019"|"022"|"Hurry, escape there, for I can't do anything until you get there."" Therefore the name of the city was called Zoar.{Zoar means ""little.""}"
"007"|"Genesis"|"021"|"003"|"Abraham called his son who was born to him, whom Sarah bore to him, Isaac.{Isaac means ""He laughs.""}"
"008"|"Genesis"|"021"|"031"|"Therefore he called that place Beersheba,{Beersheba can mean ""well of the oath"" or ""well of seven.""} because they both swore there."
"009"|"Genesis"|"022"|"014"|"Abraham called the name of that place Yahweh Will Provide{or, Yahweh-Jireh, or, Yahweh-Seeing}. As it is said to this day, ""On Yahweh's mountain, it will be provided."""
"010"|"Genesis"|"024"|"007"|"Yahweh, the God of heaven, who took me from my father's house, and from the land of my birth, who spoke to me, and who swore to me, saying, 'I will give this land to your seed{or, offspring}.' He will send his angel before you, and you shall take a wife for my son from there."
"011"|"Genesis"|"026"|"033"|"He called it Shibah.{Shibah means ""oath"" or ""seven.""} Therefore the name of the city is Beersheba{Beersheba means ""well of the oath"" or ""well of the seven""} to this day."
"012"|"Genesis"|"030"|"024"|"She named him Joseph,{Joseph means ""may he add.""} saying, ""May Yahweh add another son to me."""
"013"|"Genesis"|"031"|"019"|"Now Laban had gone to shear his sheep:  and Rachel stole the teraphim{teraphim were household idols that may have been associated with inheritance rights to the household property.} that were her father's."
"014"|"Genesis"|"031"|"047"|"Laban called it Jegar Sahadutha,{""Jegar Sahadutha"" means ""Witness Heap"" in Aramaic.} but Jacob called it Galeed.{""Galeed"" means ""Witness Heap"" in Hebrew.}"
"015"|"Genesis"|"032"|"030"|"Jacob called the name of the place Peniel{Peniel means ""face of God.""}: for, he said, ""I have seen God face to face, and my life is preserved."""
"016"|"Genesis"|"033"|"017"|"Jacob traveled to Succoth, built himself a house, and made shelters for his livestock.  Therefore the name of the place is called Succoth.{succoth means shelters or booths.}"
"017"|"Genesis"|"033"|"020"|"He erected an altar there, and called it El Elohe Israel.{El Elohe Israel means ""God, the God of Israel"" or ""The God of Israel is mighty.""}"
"018"|"Genesis"|"034"|"017"|"But if you will not listen to us, to be circumcised, then we will take our sister,{Hebrew has, literally, ""daughter""} and we will be gone."""
"019"|"Genesis"|"035"|"018"|"It happened, as her soul was departing (for she died), that she named him Benoni,{""Benoni"" means ""son of my trouble.""} but his father named him Benjamin.{""Benjamin"" means ""son of my right hand.""}"
"020"|"Genesis"|"037"|"035"|"All his sons and all his daughters rose up to comfort him, but he refused to be comforted.  He said, ""For I will go down to Sheol{Sheol is the place of the dead.} to my son mourning."" His father wept for him."
"021"|"Genesis"|"038"|"029"|"It happened, as he drew back his hand, that behold, his brother came out, and she said, ""Why have you made a breach for yourself?"" Therefore his name was called Perez.{Perez means ""breaking out.""}"
"022"|"Genesis"|"038"|"030"|"Afterward his brother came out, that had the scarlet thread on his hand, and his name was called Zerah.{Zerah means ""scarlet"" or ""brightness.""}"
"023"|"Genesis"|"041"|"051"|"Joseph called the name of the firstborn Manasseh,{""Manasseh"" sounds like the Hebrew for ""forget.""} ""For,"" he said, ""God has made me forget all my toil, and all my father's house."""
"024"|"Genesis"|"041"|"052"|"The name of the second, he called Ephraim{""Ephraim"" sounds like the Hebrew for ""twice fruitful.""}: ""For God has made me fruitful in the land of my affliction."""
"025"|"Exodus"|"002"|"010"|"The child grew, and she brought him to Pharaoh's daughter, and he became her son.  She named him Moses,{""Moses"" sounds like the Hebrew for ""draw out"".} and said, ""Because I drew him out of the water."""
"026"|"Exodus"|"002"|"022"|"She bore a son, and he named him Gershom,{""Gershom"" sounds like the Hebrew for ""an alien there.""} for he said, ""I have lived as a foreigner in a foreign land."""
"027"|"Exodus"|"010"|"019"|"Yahweh turned an exceeding strong west wind, which took up the locusts, and drove them into the Red Sea{or, Sea of Reeds}. There remained not one locust in all the borders of Egypt."
"028"|"Exodus"|"013"|"018"|"but God led the people around by the way of the wilderness by the Red Sea{or, Sea of Reeds}; and the children of Israel went up armed out of the land of Egypt."
"029"|"Exodus"|"015"|"004"|"He has cast Pharaoh's chariots and his army into the sea. His chosen captains are sunk in the Red Sea{or, Sea of Reeds}."
"030"|"Exodus"|"015"|"022"|"Moses led Israel onward from the Red Sea{or, Sea of Reeds}, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water."
"031"|"Exodus"|"015"|"023"|"When they came to Marah, they couldn't drink from the waters of Marah, for they were bitter.  Therefore the name of it was called Marah.{Marah means bitter.}"
"032"|"Exodus"|"016"|"031"|"The house of Israel called the name of it Manna,{""Manna"" means ""What is it?""} and it was like coriander seed, white; and its taste was like wafers with honey."
